Date,Year,Month,Date
20151029,2015,10,29
20150420,2015,4,20
20150910,2015,9,10
20140930,2014,9,30
20130515,2013,5,15
20120209,2012,2,9
20131106,2013,11,6
20140627,2014,6,27
20140519,2014,5,19
20141222,2014,12,22
20151020,2015,10,20
20140127,2014,1,27
20130411,2013,4,11
20130507,2013,5,7
20120911,2012,9,11
20140626,2014,6,26
20130207,2013,2,7
20120802,2012,8,2
20130102,2013,1,2
20131017,2013,10,17
20150204,2015,2,4
20140929,2014,9,29
20121206,2012,12,6
20120829,2012,8,29
20120912,2012,9,12
20120206,2012,2,6
20130326,2013,3,26
20151028,2015,10,28
20150128,2015,1,28
20121221,2012,12,21
20130718,2013,7,18
20140303,2014,3,3
20121224,2012,12,24
20121010,2012,10,10
20120717,2012,7,17
20121126,2012,11,26
20141002,2014,10,2
20120710,2012,7,10
20130306,2013,3,6
20120227,2012,2,27
20150616,2015,6,16
20130221,2013,2,21
20150303,2015,3,3
20131204,2013,12,4
20141203,2014,12,3
20150402,2015,4,2
20140129,2014,1,29
20140324,2014,3,24
20131025,2013,10,25
20120301,2012,3,1
20131221,2013,12,21
20141117,2014,11,17
20130612,2013,6,12
20140220,2014,2,20
20120827,2012,8,27
20120627,2012,6,27
20140922,2014,9,22
20121210,2012,12,10
20150211,2015,2,11
20120418,2012,4,18
20131223,2013,12,23
20131104,2013,11,4
20150930,2015,9,30
20120820,2012,8,20
20130627,2013,6,27
20131011,2013,10,11
20131022,2013,10,22
20140630,2014,6,30
20150504,2015,5,4
20141029,2014,10,29
20150626,2015,6,26
20130327,2013,3,27
20121218,2012,12,18
20120124,2012,1,24
20150330,2015,3,30
20130115,2013,1,15
20140911,2014,9,11
20130617,2013,6,17
20140710,2014,7,10
20150611,2015,6,11
20140205,2014,2,5
20141208,2014,12,8
20130422,2013,4,22
20120228,2012,2,28
20150319,2015,3,19
20140211,2014,2,11
20150818,2015,8,18
20151008,2015,10,8
20141201,2014,12,1
20120216,2012,2,16
20131228,2013,12,28
20130717,2013,7,17
20140414,2014,4,14
20140529,2014,5,29
20130909,2013,9,9
20141227,2014,12,27
20141030,2014,10,30
20150423,2015,4,23
20150622,2015,6,22
20120723,2012,7,23
20130508,2013,5,8
20141103,2014,11,3
20150226,2015,2,26
20140619,2014,6,19
20140430,2014,4,30
20150409,2015,4,9
20140625,2014,6,25
20130206,2013,2,6
20120223,2012,2,23
20150825,2015,8,25
20151103,2015,11,3
20140423,2014,4,23
20131113,2013,11,13
20120926,2012,9,26
20140326,2014,3,26
20120814,2012,8,14
20131114,2013,11,14
20130828,2013,8,28
20150127,2015,1,27
20140611,2014,6,11
20121017,2012,10,17
20130826,2013,8,26
20140108,2014,1,8
20150810,2015,8,10
20150728,2015,7,28
20120529,2012,5,29
20131202,2013,12,2
20120614,2012,6,14
20140918,2014,9,18
20140728,2014,7,28
20120130,2012,1,30
20150518,2015,5,18
20121228,2012,12,28
20121022,2012,10,22
20131121,2013,11,21
20131220,2013,12,20
20131230,2013,12,30
20130613,2013,6,13
20121204,2012,12,4
20130822,2013,8,22
20130204,2013,2,4
20140210,2014,2,10
20140417,2014,4,17
20130321,2013,3,21
20141210,2014,12,10
20120503,2012,5,3
20150422,2015,4,22
20150617,2015,6,17
20140317,2014,3,17
20130516,2013,5,16
20140729,2014,7,29
20140709,2014,7,9
20130614,2013,6,14
20130502,2013,5,2
20130808,2013,8,8
20120927,2012,9,27
20131029,2013,10,29
20120711,2012,7,11
20140812,2014,8,12
20130923,2013,9,23
20140224,2014,2,24
20121009,2012,10,9
20130430,2013,4,30
20121023,2012,10,23
20120910,2012,9,10
20150401,2015,4,1
20150813,2015,8,13
20130702,2013,7,2
20151012,2015,10,12
20150519,2015,5,19
20150804,2015,8,4
20121217,2012,12,17
20141107,2014,11,7
20140204,2014,2,4
20150217,2015,2,17
20150429,2015,4,29
20121029,2012,10,29
20121203,2012,12,3
20130509,2013,5,9
20130704,2013,7,4
20120126,2012,1,26
20130812,2013,8,12
20140313,2014,3,13
20120906,2012,9,6
20150630,2015,6,30
20150205,2015,2,5
20140701,2014,7,1
20120509,2012,5,9
20131003,2013,10,3
20120730,2012,7,30
20120628,2012,6,28
20130328,2013,3,28
20130313,2013,3,13
20130625,2013,6,25
20120423,2012,4,23
20140610,2014,6,10
20130114,2013,1,14
20140123,2014,1,23
20130827,2013,8,27
20140624,2014,6,24
20140924,2014,9,24
20131120,2013,11,20
20130529,2013,5,29
20140909,2014,9,9
20130820,2013,8,20
20150902,2015,9,2
20150624,2015,6,24
20130528,2013,5,28
20120809,2012,8,9
20150811,2015,8,11
20150819,2015,8,19
20120430,2012,4,30
20121120,2012,11,20
20141104,2014,11,4
20130925,2013,9,25
20150210,2015,2,10
20130506,2013,5,6
20120508,2012,5,8
20121101,2012,11,1
20120411,2012,4,11
20130320,2013,3,20
20130501,2013,5,1
20150526,2015,5,26
20150219,2015,2,19
20130624,2013,6,24
20150618,2015,6,18
20120321,2012,3,21
20120315,2012,3,15
20140617,2014,6,17
20140319,2014,3,19
20130522,2013,5,22
20120523,2012,5,23
20150106,2015,1,6
20121220,2012,12,20
20150729,2015,7,29
20140721,2014,7,21
20140327,2014,3,27
20131010,2013,10,10
20130129,2013,1,29
20151026,2015,10,26
20140527,2014,5,27
20120806,2012,8,6
20151021,2015,10,21
20140421,2014,4,21
20120828,2012,8,28
20120308,2012,3,8
20151013,2015,10,13
20140227,2014,2,27
20140903,2014,9,3
20151015,2015,10,15
20120905,2012,9,5
20140429,2014,4,29
20140818,2014,8,18
20150225,2015,2,25
20141216,2014,12,16
20120213,2012,2,13
20150202,2015,2,2
20130416,2013,4,16
20130131,2013,1,31
20130814,2013,8,14
20130130,2013,1,30
20120313,2012,3,13
20140213,2014,2,13
20120604,2012,6,4
20141027,2014,10,27
20130425,2013,4,25
20120726,2012,7,26
20130128,2013,1,28
20140813,2014,8,13
20150317,2015,3,17
20131002,2013,10,2
20120705,2012,7,5
20120104,2012,1,4
20151027,2015,10,27
20140715,2014,7,15
20130710,2013,7,10
20140506,2014,5,6
20130418,2013,4,18
20141211,2014,12,11
20150331,2015,3,31
20130530,2013,5,30
20131111,2013,11,11
20141113,2014,11,13
20140306,2014,3,6
20120207,2012,2,7
20150311,2015,3,11
20140318,2014,3,18
20131217,2013,12,17
20140829,2014,8,29
20120514,2012,5,14
20131016,2013,10,16
20140109,2014,1,9
20140513,2014,5,13
20141209,2014,12,9
20140403,2014,4,3
20150528,2015,5,28
20141020,2014,10,20
20120712,2012,7,12
20140115,2014,1,15
20141028,2014,10,28
20140310,2014,3,10
20150730,2015,7,30
20130227,2013,2,27
20120416,2012,4,16
20150105,2015,1,5
20150831,2015,8,31
20121024,2012,10,24
20120119,2012,1,19
20130730,2013,7,30
20121112,2012,11,12
20120327,2012,3,27
20140311,2014,3,11
20121002,2012,10,2
20140804,2014,8,4
20120110,2012,1,10
20130723,2013,7,23
20130213,2013,2,13
20141106,2014,11,6
20120515,2012,5,15
20121015,2012,10,15
20140807,2014,8,7
20141220,2014,12,20
20130805,2013,8,5
20140915,2014,9,15
20120419,2012,4,19
20120531,2012,5,31
20150826,2015,8,26
20130821,2013,8,21
20150223,2015,2,23
20150928,2015,9,28
20150908,2015,9,8
20141023,2014,10,23
20130228,2013,2,28
20140128,2014,1,28
20150701,2015,7,1
20120201,2012,2,1
20130716,2013,7,16
20120919,2012,9,19
20121219,2012,12,19
20150901,2015,9,1
20130429,2013,4,29
20130124,2013,1,24
20120724,2012,7,24
20121001,2012,10,1
20130801,2013,8,1
20140106,2014,1,6
20120625,2012,6,25
20121107,2012,11,7
20141016,2014,10,16
20121025,2012,10,25
20121003,2012,10,3
20121008,2012,10,8
20130117,2013,1,17
20150427,2015,4,27
20130311,2013,3,11
20150430,2015,4,30
20131123,2013,11,23
20140320,2014,3,20
20140925,2014,9,25
20131224,2013,12,24
20150323,2015,3,23
20120606,2012,6,6
20120813,2012,8,13
20121128,2012,11,28
20140212,2014,2,12
20151005,2015,10,5
20150316,2015,3,16
20140908,2014,9,8
20120613,2012,6,13
20130905,2013,9,5
20121119,2012,11,19
20121227,2012,12,27
20130916,2013,9,16
20130212,2013,2,12
20120605,2012,6,5
20140702,2014,7,2
20150604,2015,6,4
20130711,2013,7,11
20120329,2012,3,29
20120502,2012,5,2
20130123,2013,1,23
20120917,2012,9,17
20150513,2015,5,13
20131203,2013,12,3
20140821,2014,8,21
20120725,2012,7,25
20140724,2014,7,24
20120125,2012,1,25
20150714,2015,7,14
20131014,2013,10,14
20120501,2012,5,1
20120801,2012,8,1
20120202,2012,2,2
20120424,2012,4,24
20140102,2014,1,2
20150522,2015,5,22
20150408,2015,4,8
20150625,2015,6,25
20140116,2014,1,16
20150113,2015,1,13
20150521,2015,5,21
20130523,2013,5,23
20121231,2012,12,31
20120229,2012,2,29
20130325,2013,3,25
20150309,2015,3,9
20120312,2012,3,12
20121115,2012,11,15
20150129,2015,1,29
20150121,2015,1,21
20150421,2015,4,21
20141230,2014,12,30
20140528,2014,5,28
20130122,2013,1,22
20140408,2014,4,8
20120402,2012,4,2
20131004,2013,10,4
20120412,2012,4,12
20120131,2012,1,31
20150904,2015,9,4
20150723,2015,7,23
20150511,2015,5,11
20140826,2014,8,26
20150923,2015,9,23
20121004,2012,10,4
20120319,2012,3,19
20130314,2013,3,14
20121205,2012,12,5
20140811,2014,8,11
20120920,2012,9,20
20140424,2014,4,24
20120703,2012,7,3
20140708,2014,7,8
20120314,2012,3,14
20120821,2012,8,21
20140828,2014,8,28
20141010,2014,10,10
20130219,2013,2,19
20150514,2015,5,14
20150304,2015,3,4
20120718,2012,7,18
20120516,2012,5,16
20150209,2015,2,9
20150615,2015,6,15
20150407,2015,4,7
20130912,2013,9,12
20140203,2014,2,3
20150812,2015,8,12
20131031,2013,10,31
20141122,2014,11,22
20150302,2015,3,2
20150218,2015,2,18
20131205,2013,12,5
20150806,2015,8,6
20131107,2013,11,7
20150903,2015,9,3
20140714,2014,7,14
20120507,2012,5,7
20120116,2012,1,16
20140113,2014,1,13
20130121,2013,1,21
20121031,2012,10,31
20141120,2014,11,20
20130910,2013,9,10
20140305,2014,3,5
20150416,2015,4,16
20140806,2014,8,6
20120111,2012,1,11
20120702,2012,7,2
20140428,2014,4,28
20130903,2013,9,3
20140401,2014,4,1
20140415,2014,4,15
20131125,2013,11,25
20121030,2012,10,30
20130226,2013,2,26
20140130,2014,1,30
20140410,2014,4,10
20140609,2014,6,9
20140603,2014,6,3
20120621,2012,6,21
20150506,2015,5,6
20120525,2012,5,25
20140923,2014,9,23
20140703,2014,7,3
20140508,2014,5,8
20120522,2012,5,22
20150305,2015,3,5
20120105,2012,1,5
20130906,2013,9,6
20120815,2012,8,15
20130211,2013,2,11
20130920,2013,9,20
20130615,2013,6,15
20130520,2013,5,20
20140225,2014,2,25
20130917,2013,9,17
20140218,2014,2,18
20141124,2014,11,24
20150820,2015,8,20
20131008,2013,10,8
20141223,2014,12,23
20121121,2012,11,21
20150122,2015,1,22
20121019,2012,10,19
20140411,2014,4,11
20141231,2014,12,31
20151125,2015,11,25
20130830,2013,8,30
20131231,2013,12,31
20121005,2012,10,5
20120629,2012,6,29
20121026,2012,10,26
20130816,2013,8,16
20150123,2015,1,23
20130524,2013,5,24
20131127,2013,11,27
20150807,2015,8,7
20131213,2013,12,13
20120309,2012,3,9
20140131,2014,1,31
20150925,2015,9,25
20150702,2015,7,2
20131206,2013,12,6
20130621,2013,6,21
20141212,2014,12,12
20131108,2013,11,8
20141126,2014,11,26
20131101,2013,11,1
20151002,2015,10,2
20120127,2012,1,27
20131115,2013,11,15
20150918,2015,9,18
20120622,2012,6,22
20121214,2012,12,14
20151030,2015,10,30
20130222,2013,2,22
20130628,2013,6,28
20140502,2014,5,2
20130622,2013,6,22
20140314,2014,3,14
20130503,2013,5,3
20120921,2012,9,21
20140117,2014,1,17
20150605,2015,6,5
20120601,2012,6,1
20120727,2012,7,27
20120914,2012,9,14
