Category	Vendor Number	Item Number	Item Description	Pack	Bottle Volume (ml)	State Bottle Cost
1701100	260	312	Crown Royal Tailgate Pack w/2 Reusable Glasses	6	750	$15.00 
1031080	260	37417	Popov Vodka 80 Prf	12	1000	$5.50 
1081380	65	73517	Dekuyper Cactus Juice	12	1000	$7.62 
1011300	85	26824	Jack Daniels Old #7 Black Lbl Square	24	375	$6.30 
1032200	370	34076	Absolut Vanilia	12	750	$8.99 
1011200	65	19477	Maker's Mark	12	1000	$18.89 
1081030	370	67527	Kahlua Coffee Liqueur	12	1000	$15.24 
1062310	260	43338	Captain Morgan Spiced Rum	6	1750	$16.90 
1062300	35	43097	Bacardi Razz	12	1000	$10.24 
1032200	260	64725	Ciroc Amaretto	12	375	$9.00 
1031200	260	41797	Smirnoff Raspberry Vodka	12	1000	$9.25 
1032200	260	64727	Ciroc Amaretto	12	750	$18.75 
1012200	55	8827	Lauder's	12	1000	$6.07 
1012200	260	5326	Johnnie Walker Black	12	750	$20.75 
1012300	370	15626	Jameson	12	750	$13.15 
1051110	434	55084	Paramount Blackberry Brandy	24	375	$3.54 
1041100	434	31657	Paramount Gin	12	1000	$4.30 
1032200	260	64716	Ciroc Peach	12	750	$18.75 
1081315	65	71441	After Shock Cinnamon Liqueur Mini	12	500	$15.83 
1701100	192	3309	Jagermeister Cocktail Glass Set	12	375	$6.23 
1022100	65	88548	Hornitos Plata	12	750	$13.11 
1031200	260	40604	Smirnoff Kissed Caramel	12	750	$7.21 
1062310	260	43418	Captain Morgan Tattoo	12	750	$8.50 
1022100	461	87250	Cabo Wabo Blanco	6	750	$18.17 
1031200	259	42031	Burnett's Whipped Cream Vodka	12	750	$4.83 
1062300	35	43116	Bacardi O	12	750	$8.33 
1081200	260	68039	Bailey's Original Irish Cream	4	2400	$28.71 
1081350	434	82187	Arrow Spearmint Schnapps	12	1000	$4.75 
1031200	260	40965	Smirnoff Whipped Cream	12	750	$7.59 
1051140	434	56206	Paramount Peach Flavored Brandy	12	750	$5.47 
1032200	277	35973	Stolichnaya Sticki	12	750	$12.24 
1011300	85	26822	Jack Daniels Black Label	48	100	$1.65 
1081200	260	68031	Bailey's Original Irish Cream Minis	4	1000	$25.24 
1012200	260	905690	Oban Distillers Edition HA	6	750	$44.99 
1032200	260	64715	Ciroc Peach	12	1000	$22.74 
1051100	434	54446	Paramount Apricot Flavored Brandy	12	750	$5.21 
1081390	421	69634	Dr. Mcgillicuddy's Cherry Schnapps	24	375	$5.33 
1012300	370	15626	Jameson	12	750	$13.90 
1011100	434	23276	Calvert Extra Bl Whiskey	12	750	$5.25 
1032200	260	64716	Ciroc Peach	12	750	$19.00 
1062200	55	44217	Barton Rum Light	12	1000	$4.00 
1062200	35	43037	Bacardi Gold Rum	12	1000	$8.93 
1012200	55	8824	Lauder's	24	375	$3.21 
1031200	260	77410	Smirnoff Sorbet Light Raspberry Pomegranate Mini	12	500	$5.72 
1062200	35	43128	Bacardi Superior Rum	6	1750	$12.67 
1081380	55	84166	99 Blackberries	12	750	$9.50 
1052010	420	48105	Hennessy VS	12	375	$9.50 
1012100	260	10815	Crown Royal Maple Mini	10	300	$6.90 
1062200	434	45246	Paramount Gold Rum	12	750	$3.85 
1031200	260	77880	Smirnoff Sours Watermelon	12	750	$8.25 
1081600	421	64866	Fireball Cinnamon Whiskey	12	750	$8.97 
1062300	35	43136	Bacardi Limon	12	750	$7.75 
1031200	260	40956	Smirnoff Strawberry Vodka	12	750	$7.96 
1041100	297	29997	Five O'clock Gin	12	1000	$4.33 
1062200	434	46350	Hawkeye Light Rum	6	1750	$7.56 
1011200	461	22156	Wild Turkey 101	12	750	$13.50 
1022100	395	89204	1800 Reposado Tequila	12	375	$8.50 
1081305	65	82604	Dekuyper Sour Apple Pucker	24	375	$3.07 
1031200	380	40407	UV Salty Watermelon Mini	6	500	$4.94 
1031200	380	41698	Uv Ivory (vanilla) Vodka	12	750	$6.25 
1082900	192	65258	Jagermeister Liqueur	6	1750	$25.69 
1071100	55	57144	Chi-Chi's White Russian	6	1750	$5.99 
1012100	260	10808	Crown Royal Regal Apple	12	1000	$18.50 
1011300	85	26586	Gentleman Jack	12	750	$20.01 
1022100	85	89274	El Jimador Anejo Tequila	6	750	$11.38 
1011200	297	18407	G & W Bourbon	12	1000	$5.09 
1042100	35	28236	Bombay Sapphire Gin	12	750	$13.64 
1071100	55	57168	Chi-Chi's Chocolate Malt	6	1750	$6.00 
1041100	434	30527	Hawkeye Gin	12	1000	$4.23 
1081312	434	84486	Paramount Butterscotch Schnapps	12	750	$4.08 
1011100	300	24706	Mccormick Blend Whiskey	12	750	$3.50 
1012200	260	4616	Buchanan Special Reserve 18YR	6	750	$39.07 
1081600	260	67264	Yukon Jack Canadian Liqueur	24	375	$4.69 
1012100	434	13638	Lord Calvert Canadian Whisky	6	1750	$9.97 
1022100	395	87403	Jose Cuervo Especial Silver	24	375	$5.50 
1081200	300	65200	Tequila Rose Liqueur	12	750	$9.33 
1051010	205	52599	E & J Vs Brandy Round	12	1000	$6.94 
1022100	434	89386	Juarez Tequila Gold	12	750	$6.42 
1081240	434	79336	Paramount Creme De Menthe/green	12	750	$4.44 
1082900	259	65229	Hpnotiq Harmonie	6	750	$9.83 
1052010	420	48146	Hennessy Black	12	750	$22.00 
1012100	85	12478	Canadian Mist Canadian Why Pet	6	1750	$11.06 
1022100	410	88294	Patron Silver Tequila	12	375	$13.33 
1012210	370	5061	Glenlivet 15 Year French Oak	6	750	$26.40 
1011200	65	19477	Maker's Mark	12	1000	$19.94 
1012300	370	15628	Jameson	6	1750	$24.90 
1031080	55	35946	Fleischmann's Royal Vodka	12	750	$3.31 
1012100	115	11586	Black Velvet Reserve	12	750	$7.00 
1081355	434	84496	Paramount Strawberry Schnapps	12	750	$4.08 
1081030	259	67426	Copa De Oro Mexican Coffee	12	750	$4.63 
1041100	370	32234	Seagrams Extra Dry Gin	24	375	$3.50 
1011300	85	26820	Jack Daniels Old #7 Black Lbl Flat	24	375	$7.00 
1022100	395	89196	Jose Cuervo Especial Reposado Tequila	12	750	$9.49 
1062200	35	43048	Bacardi Select Rum	6	1750	$14.67 
1032200	434	33899	Pearl Grape	12	750	$7.86 
1081700	384	76040	Midnight Moon Strawberry	6	750	$9.50 
1081900	65	73526	Dekuyper Melon Liqueur	12	750	$6.30 
1012210	305	5486	Macallan 12 Yr Single Malt Scotch	12	750	$27.48 
1071100	395	58840	Jose Cuervo Authentic Grapefruit Tangerine Margarita	6	1750	$7.70 
1032080	260	34199	Ciroc Super Premium Vodka	6	1000	$21.77 
1022100	65	89786	Sauza Gold	12	750	$8.12 
1031080	255	37889	Seagrams Extra Smooth	12	375	$2.80 
1051100	434	54448	Paramount Apricot Flavored Brandy	6	1750	$10.75 
1012100	260	11299	Crown Royal	44	200	$4.72 
1012100	65	10628	Canadian Club Whisky	6	1750	$13.75 
1031080	260	37413	Popov Vodka 80 Prf	48	200	$1.53 
1022100	421	88766	Tortilla White Tequila	12	750	$6.35 
1082900	259	65229	Hpnotiq Harmonie	6	750	$8.83 
1062310	240	45884	Sailor Jerry Spiced Navy Rum	24	375	$4.79 
1031080	260	37426	Popov Vodka 80 Prf Traveler	12	750	$4.50 
1011100	65	25878	Sunny Brook Blend Whiskey	6	1750	$7.87 
1081010	434	76487	Paramount Amaretto	12	1000	$4.05 
1031080	380	37338	UV Vodka PET	6	1750	$10.48 
1032080	260	34456	Ketel One Imported Vodka	12	750	$13.00 
1032080	267	34690	Sobieski Vodka	12	750	$6.50 
1081330	434	84457	Paramount Peach Schnapps	12	1000	$5.42 
1011100	260	86704	Jeremiah Weed Cinnamon Whiskey	12	750	$9.65 
1012100	260	10818	Crown Royal Maple	12	750	$14.50 
1011200	461	22121	Wild Turkey 81	12	750	$8.91 
1031080	434	36305	Hawkeye Vodka	12	750	$3.28 
1012100	65	64593	Canadian Club Dock 57 Blackberry	12	750	$9.97 
1011200	461	77774	Wild Turkey American Honey	12	1000	$13.82 
1062200	434	45245	Paramount Gold Rum Traveler	12	750	$3.85 
1031200	380	40625	UV Chocolate Cake	12	750	$6.50 
1032200	277	34871	Stolichnaya Razberi Vodka 75 Proof	12	1000	$16.80 
1051010	259	52316	Christian Bros Brandy	12	750	$5.51 
1032080	370	34006	Absolut Swedish Vodka 80 Prf	12	750	$10.14 
1031200	65	40572	Skinnygirl Island Coconut	12	750	$12.07 
1031080	380	37347	Phillips Vodka	12	1000	$4.29 
1032200	370	34052	Absolut Raspberri	12	750	$11.49 
1062300	35	43055	Bacardi Dragon Berry PET	12	750	$8.00 
1081315	421	82926	Gold Rush Liqueur	12	750	$8.47 
1081380	55	84160	99 Apples Mini Display	10	600	$3.96 
1022100	55	89577	Montezuma Gold Tequila	12	1000	$7.02 
1011250	421	17766	Eagle Rare	6	750	$17.16 
1031200	380	42142	UV Sugar Crush	12	750	$6.25 
1071100	35	56870	Bacardi Cocktails Strawberry Daiquiri Light	6	1750	$8.50 
1071100	65	63359	Skinnygirl White Peach Margarita	12	750	$5.77 
1071100	65	63355	Skinnygirl Margarita	12	750	$7.87 
1022100	35	89121	Cazadores Reposado	12	750	$17.50 
1081600	421	64865	Fireball Cinnamon Whiskey PET	12	750	$8.66 
1041100	297	29998	Five O'clock Gin	6	1750	$7.33 
1032080	260	34457	Ketel One Imported Vodka	12	1000	$17.00 
1031200	259	41326	Burnett's Citrus	12	750	$4.18 
1041100	205	31471	New Amsterdam Gin Mini	10	600	$5.54 
1081300	434	81196	Paramount Peppermint Schnapps Traveler	12	750	$3.71 
1011200	65	19063	Jim Beam	48	200	$3.10 
1032080	35	34359	Grey Goose Vodka	12	200	$5.00 
1041100	370	32237	Seagrams Extra Dry Gin	12	1000	$7.49 
1011200	65	16676	Basil Hayden 8YR	6	750	$22.57 
1031080	461	37987	Skyy Vodka	12	1000	$12.34 
1011100	65	22783	Beam's 8 Star Bl Whiskey	48	200	$1.31 
1032200	65	35626	Pinnacle Whipped	12	750	$6.87 
1062310	395	46503	Kraken Black Spiced Rum	12	375	$6.00 
1051110	65	54706	Dekuyper Blackberry Brandy	12	750	$4.45 
1012300	395	64581	Bushmills Irish Honey	12	750	$12.99 
1012300	65	15686	Kilbeggan	12	750	$15.22 
1011200	65	27544	Red Stag By Jim Beam	12	750	$11.02 
1022100	55	88147	Montezuma White Tequila	12	1000	$7.02 
1032200	395	34995	Three Olives Grape Vodka	12	750	$9.96 
1082900	85	64676	Chambord Liqueur Royale De France	12	750	$17.06 
1062310	260	43322	Captain Morgan 1671	12	750	$9.99 
1081200	305	73053	Rumchata	6	1000	$14.33 
1031200	461	40804	Skyy Infusions Citrus	12	750	$8.51 
1032080	370	34368	Fris Danish Vodka	6	1750	$8.49 
1062300	370	42703	Malibu Pineapple Rum	12	750	$7.49 
1032080	35	34425	Grey Goose Vodka	6	1750	$31.42 
1011100	65	24453	Kessler Blend Whiskey	48	200	$1.83 
1081900	305	77568	Travis Hasse's Cherry Pie Liqueur	12	750	$7.94 
1062300	35	43136	Bacardi Limon	12	750	$7.83 
1031080	461	37986	Skyy Vodka	12	750	$8.51 
1032200	395	35469	Three Olives Bubble Vodka	12	750	$10.16 
1011250	259	18120	Evan Williams Vintage	6	750	$13.25 
1082900	192	65254	Jagermeister Liqueur	24	375	$6.23 
1012100	260	10812	Crown Royal 75th Anniversary	6	750	$37.48 
1031200	260	40271	Smirnoff Amaretto	12	750	$8.25 
1082900	389	64776	Cointreau Liqueur	12	750	$19.99 
1012210	305	5486	Macallan 12 Yr Single Malt Scotch	12	750	$28.49 
1081390	421	69631	Dr. Mcgillicuddy's Cherry Mini	12	500	$4.96 
1062310	260	43335	Captain Morgan Spiced Rum Pet	6	1750	$17.00 
1062200	434	45277	Paramount White Rum	12	1000	$4.33 
1071100	65	63354	Skinnygirl White Cranberry Cosmo	12	750	$5.77 
1011200	434	18196	Ezra Brooks 50 Mo Ky Sour Mash Bourbon	12	750	$6.66 
1071100	380	63959	Uv Blue Raspberry Lemonade Pet	6	1750	$5.97 
1011200	421	16516	Ancient Age Bourbon	12	750	$6.00 
1062200	35	43046	Bacardi Select Rum	12	750	$8.00 
1012100	65	10624	Canadian Club Whisky	24	375	$4.28 
1081330	65	82849	Dekuyper Peachtree Schnapps Pet	6	1750	$11.54 
1032200	65	33518	Pinnacle Cucumber	12	750	$7.88 
1012200	260	10009	Scoresby Rare Scotch	12	1000	$6.15 
1032200	65	34189	Effen Black Cherry Vodka	6	750	$14.17 
1022100	330	88036	Margaritaville Silver Tequila	12	750	$7.51 
1062200	35	43037	Bacardi Gold Rum	12	1000	$9.43 
1071100	55	57125	Chi-Chi's Gold Margarita	6	1750	$6.00 
1062300	35	43066	Bacardi Peach Red	12	750	$8.50 
1031200	260	41806	Smirnoff Vanilla Vodka	12	750	$7.96 
1062310	260	43335	Captain Morgan Spiced Rum Pet	6	1750	$17.50 
1032200	395	33791	Three Olives Marilyn Monroe Strawberry	12	750	$11.17 
1032200	370	33959	Absolut Chicago	12	750	$11.49 
1032200	370	34076	Absolut Vanilia	12	750	$11.00 
1071100	260	63825	Tgif On The Rocks Mudslide	12	750	$3.82 
1031200	380	41698	Uv Ivory (vanilla) Vodka	12	750	$6.50 
1081600	85	86825	Southern Comfort Lime	12	750	$9.85 
1081900	205	77735	Viniq	12	750	$10.00 
1062200	434	45245	Paramount Gold Rum Traveler	12	750	$4.00 
1012100	260	10805	Crown Royal Regal Apple	24	375	$7.75 
1012100	370	11416	Wiser's Deluxe	12	750	$9.49 
1032200	65	35628	Pinnacle Whipped	6	1750	$12.08 
1701100	461	706	Wild Turkey 101 w/2 Glasses	6	750	$13.00 
1082900	389	65896	Metaxa Ouzo	12	750	$10.00 
1032200	434	34702	Pearl Pomegranate Vodka	12	750	$7.85 
1031200	259	40327	Deep Eddy Ruby Red	12	750	$9.00 
1042100	300	28350	Broker's London Dry Gin	12	750	$9.25 
1032200	395	36221	Three Olives Elvis Coconut Water	12	750	$9.96 
1062310	260	43285	Captain Morgan Original Spiced Rum Pet	12	750	$8.75 
1081700	259	73721	Evan Williams Fire	12	750	$7.94 
1022100	395	89206	1800 Reposado Tequila	12	750	$14.50 
1022100	85	89278	El Jimador Reposado Tequila	12	750	$11.65 
1031080	255	37888	Seagrams Vodka	6	1750	$10.00 
1081900	65	73452	Dekuyper Luscious Pomegranate Pleasure Liq	12	750	$6.30 
1062300	260	43362	Captain Morgan Cannon Blast	6	750	$9.00 
1012100	260	11346	Seagrams V.o. Bl Canadian Whisky	12	750	$7.50 
1081700	384	76042	Midnight Moon Blackberry	6	750	$9.50 
1032080	260	36871	Ciroc Luxury Vodka	12	750	$18.75 
1011100	154	27290	Iowa Shine	12	375	$10.08 
1032200	277	34870	Stoli Razberi (raspberry)	12	750	$12.24 
1031200	260	77870	Smirnoff Sours Fruit Punch	12	750	$8.25 
1062300	65	44456	Cruzan Raspberry Rum	12	750	$6.82 
1062300	35	43096	Bacardi Razz	12	750	$8.33 
1022100	65	88548	Hornitos Plata	12	750	$13.12 
1012100	65	10846	Canadian Club Small Batch Classic	12	750	$13.12 
1032200	370	33966	Absolut Orient Apple	12	750	$11.49 
1011200	306	27479	Cody Road Bourbon	6	750	$19.17 
1062050	305	42242	Blue Chair Bay Coconut	12	750	$9.42 
1032200	260	64759	Ciroc Red Berry	24	200	$4.99 
1051100	434	54444	Paramount Apricot Flavored Brandy	24	375	$3.55 
1031200	300	40669	360 Glazed Donut	12	750	$9.33 
1081600	421	64856	Fireball	12	200	$3.33 
1051010	259	52316	Christian Bros Brandy	12	750	$5.42 
1062310	259	44258	Blackheart Premium Spiced Rum	12	750	$6.94 
1062300	370	42716	Malibu Coconut Rum	12	750	$6.74 
1041100	297	29993	Five O'clock Gin	48	200	$1.20 
1032200	370	34051	Absolut Raspberri	12	1000	$14.99 
1062310	434	44657	Lady Bligh Spiced Rum	12	1000	$0.00 
1081200	305	73052	Rumchata	12	375	$7.42 
1081900	434	85606	Paramount Blue Curacao	12	750	$3.50 
1012300	370	15626	Jameson	12	750	$14.99 
1052010	420	48099	Hennessy VS	24	200	$5.65 
1011200	55	21598	Ten High	6	1750	$8.73 
1081600	85	86887	Southern Comfort	12	1000	$11.34 
1081030	434	72816	Caffe Lolita Coffee Liqueur	12	750	$5.00 
1062100	461	42006	Appleton Signature Blend	12	750	$10.50 
1062200	434	45247	Paramount Gold Rum	12	1000	$4.34 
1051110	65	54706	Dekuyper Blackberry Brandy	12	750	$4.19 
1031080	322	37146	Opulent Vodka	6	750	$10.03 
1071100	55	57129	Chi-Chi's Mexican Mudslide	6	1750	$5.99 
1012100	260	10818	Crown Royal Maple	12	750	$14.75 
1701100	420	3403	Hennessy VS w/Hennessy Black 50ml	6	800	$18.49 
1081600	260	67266	Yukon Jack Canadian Liqueur	12	750	$9.00 
1012200	260	5326	Johnnie Walker Black	12	750	$20.50 
1011100	803	27799	Uncle Bob's Root Beer Mini	12	500	$4.70 
1081330	434	84456	Paramount Peach Schnapps	12	750	$3.97 
1071100	35	56840	Bacardi Party Drinks Hurricane	6	1750	$6.23 
1022100	410	88298	Patron Tequila Silver	3	1750	$58.00 
1082900	305	66050	Nuvo Sparkling Liqueur	12	375	$9.93 
1081600	85	86885	Southern Comfort Pet	12	750	$9.84 
1082900	305	65017	Galliano Liqueur	24	375	$10.75 
1011300	85	26586	Gentleman Jack	12	750	$16.94 
1041100	434	29728	Calvert Gin	6	1750	$6.77 
1011200	65	19474	Maker's Mark	12	375	$7.61 
1031200	205	40193	New Amsterdam Pineapple	12	750	$6.90 
1081390	260	69947	Rumple Minze Peppermint Schnapps Liqueur	12	1000	$15.15 
1032200	115	34815	Svedka Vanilla Vodka	12	750	$7.97 
1081380	380	83348	Ice Hole Cherry Schnapps	12	750	$4.90 
1062300	65	44350	Calico Jack Cherry	12	750	$6.00 
1062300	35	43209	Bacardi Black Razz	12	750	$8.50 
1041100	297	30036	Five O'clock	12	750	$3.46 
1022100	969	87946	Kah Blanco Tequila	6	750	$24.83 
1031200	260	41715	Smirnoff Cranberry Vodka	12	750	$8.25 
1031080	259	35416	Burnett's Vodka 80 Prf	12	750	$4.18 
1031200	380	41707	Phillips Lime Flavored Vodka	12	1000	$5.78 
1011200	65	19475	Maker's Mark Replica	12	375	$7.86 
1031080	461	37987	Skyy Vodka	12	1000	$12.35 
1011200	421	16516	Ancient Age Bourbon	12	750	$6.16 
1062310	240	45884	Sailor Jerry Spiced Navy Rum	24	375	$4.80 
1071100	260	58801	Captain Morgan Long Island Iced Tea	6	1750	$10.50 
1011200	65	27544	Red Stag By Jim Beam	12	750	$11.03 
1011200	461	22175	Russell's Reserve 10YR	6	750	$17.49 
1012100	971	14208	Pendleton 1910	6	750	$20.00 
1062300	35	43198	Bacardi Torched Cherry	12	1000	$9.24 
1041100	370	32237	Seagrams Extra Dry Gin	12	1000	$7.50 
1031080	259	35416	Burnett's Vodka 80 Prf	12	750	$4.55 
1022100	205	89533	Familia Camarena Reposado	12	750	$10.00 
1062300	370	42703	Malibu Pineapple Rum	12	750	$6.75 
1032200	434	35961	Pearl Red Berry Vodka	12	750	$7.86 
1012300	370	15813	Paddy Devil's Apple Mini	16	600	$3.96 
1062310	260	43333	Captain Morgan Spiced Rum Pet	48	200	$2.00 
1032200	395	34886	Three Olives Berry Vodka	12	750	$11.16 
1071100	330	62400	Margaritaville Classic Lime Margarita	6	1750	$7.01 
1042100	35	28238	Bombay Sapphire Gin	6	1750	$26.22 
1012200	55	8825	Lauder's Scotch Traveler	12	750	$5.13 
1011200	421	16850	Blanton's Bourbon	6	750	$28.08 
1022100	395	87410	Jose Cuervo Especial Silver	6	1750	$19.25 
1051010	85	52806	Korbel Brandy	12	750	$5.70 
1032080	115	34817	Svedka	12	375	$4.76 
1011100	434	23277	Calvert Extra Bl Whiskey	12	1000	$6.88 
1031200	259	40126	Burnett's Mango Pineapple	12	750	$4.18 
1062200	35	43038	Bacardi Gold Rum	6	1750	$15.00 
1031200	260	41796	Smirnoff Raspberry Vodka	12	750	$7.21 
1071100	395	58838	Jose Cuervo Authentic Lime Margarita	6	1750	$7.70 
1022100	395	87510	1800 Silver Tequila	12	750	$12.50 
1062300	35	43197	Bacardi Torched Cherry	12	750	$7.75 
1032200	395	34962	Three Olives Orange Vodka	12	750	$10.16 
1062200	35	42370	Bacardi 8 Rum	12	750	$12.50 
1012100	85	12479	Canadian Mist	6	1750	$11.06 
1081312	65	82784	Dekuyper Buttershots Burst Schnapps	24	375	$3.06 
1051100	259	52314	Christian Bros Brandy	24	375	$2.93 
1022100	434	87997	La Prima Tequila/white	12	1000	$6.59 
1032200	370	34029	Absolut Citron (lemon Vodka)	12	1000	$12.49 
1081030	370	67524	Kahlua Coffee Liqueur	24	375	$6.43 
1081600	421	64866	Fireball Cinnamon Whiskey	12	750	$8.66 
1031200	260	77378	Smirnoff Sorbet Light Raspberry Pomegranate	12	750	$8.25 
1032080	260	34197	Ciroc Luxury Vodka	12	375	$9.25 
1012100	65	15247	Windsor Canadian	12	1000	$6.55 
1031200	260	40024	Shady Fruit Ruby Red Grapefruit	12	750	$7.99 
1011200	461	22155	Wild Turkey 101 Round	12	375	$5.75 
1011100	260	27554	Seagrams Seven Crown Dark Honey	12	750	$8.17 
1062300	35	43050	Bacardi Dragon Berry	12	1000	$10.24 
1051120	434	55246	Arrow Wild Cherry Flav Brandy	12	750	$5.25 
1011200	461	22158	Wild Turkey 101	6	1750	$26.00 
1082900	192	65257	Jagermeister Liqueur	12	1000	$14.93 
1011200	259	917914	Elijah Craig Cask Barrel Proof HA	3	750	$24.92 
1012200	35	4866	Dewars White Label Scotch	12	750	$12.73 
1032200	65	34629	Pinnacle Raspberry	12	750	$6.88 
1011100	65	22788	Beam's 8 Star Bl Whiskey	6	1750	$7.30 
1012210	370	5061	Glenlivet 15 Year French Oak	6	750	$27.50 
1031110	65	40570	Skinnygirl Bare Naked	12	750	$12.07 
1022100	421	88766	Tortilla White Tequila	12	750	$6.27 
1012210	260	6206	Talisker 10YR	12	750	$31.00 
1081330	434	82126	Arrow Peach Schnapps	12	750	$4.08 
1031080	259	34467	Frozen Ghost Vodka	6	750	$10.83 
1012200	305	4936	Famous Grouse Scotch	12	750	$11.99 
1012200	35	64888	Dewars Highlander Honey	12	750	$14.93 
1042100	240	28627	Hendrick's Gin	6	1000	$21.17 
1082900	330	903064	Pirassunga 51 Cachaca	12	1000	$10.88 
1062300	65	44419	Cruzan Black Cherry Rum	12	750	$6.38 
1032200	65	35780	Pinnacle Cake Vodka	12	750	$6.88 
1032080	370	34366	Fris Danish Vodka	12	750	$5.74 
1032200	395	34968	Three Olives Chocolate Vodka	12	750	$11.16 
1011200	421	917266	Old Charter 101 HA	12	750	$10.39 
1011300	85	26586	Gentleman Jack	12	750	$18.94 
1012100	260	11346	Seagrams V.o. Bl Canadian Whisky	12	750	$7.49 
1011100	65	24454	Kessler Blend Whiskey	24	375	$3.10 
1031200	205	40289	New Amsterdam Coconut	12	750	$6.90 
1081030	370	67526	Kahlua Coffee Liqueur	12	750	$11.61 
1031200	434	41500	Hawkeye Blue Raspberry Vodka	12	1000	$5.01 
1081030	65	67557	Kamora Coffee Liqueur	12	1000	$8.39 
1062200	260	43325	Captain Morgan White Mini	12	500	$4.97 
1011500	65	27048	Knob Creek Rye	6	750	$20.99 
1011200	65	20246	Old Crow	12	750	$4.46 
1031200	260	41796	Smirnoff Raspberry Vodka	12	750	$7.59 
1051010	205	52563	E & J Xo Brandy	12	750	$8.00 
1062300	65	44419	Cruzan Black Cherry Rum	12	750	$5.82 
1011100	65	24453	Kessler Blend Whiskey	48	200	$1.77 
1062200	35	43156	Bacardi 151 Proof Rum	12	750	$12.66 
1032200	277	34881	Stolichnaya Vanil Vodka 75 Proof	12	1000	$15.97 
1032200	395	34995	Three Olives Grape Vodka	12	750	$11.16 
1032200	277	34870	Stoli Razberi (raspberry)	12	750	$11.99 
1011250	421	17766	Eagle Rare	6	750	$14.56 
1031200	380	41688	Uv Blue Raspberry Vodka Traveller	12	750	$6.50 
1031200	260	40260	Smirnoff Wild Honey	12	750	$8.25 
1031080	260	38008	Smirnoff Vodka 80 Prf Pet	6	1750	$13.48 
1012100	434	13636	Lord Calvert Canadian Whisky	12	750	$5.25 
1062300	259	43077	Admiral Nelson Coconut Rum	12	1000	$7.28 
1031200	394	35527	Bakon Vodka	6	750	$11.83 
1031200	259	41299	Burnett's Cherry Vodka	12	750	$4.18 
1081700	384	76032	Midnight Moon Original	6	750	$10.42 
1051110	380	55106	Phillips Blackberry Flav Brandy	12	750	$4.76 
1081200	300	74763	Hot Rose Cinnamon Cream Liqueur	12	750	$5.33 
1041100	434	30528	Hawkeye Gin	6	1750	$7.17 
1052010	65	47785	Courvoisier Vs Coganc	12	375	$7.14 
1041100	205	31474	New Amsterdam Gin	24	375	$3.50 
1081900	259	76478	Pama Pomegranate Liqueur	6	750	$9.83 
1051010	205	52593	E & J Vs Brandy	24	200	$1.85 
1011100	65	24458	Kessler Blend Whiskey	6	1750	$10.01 
1041200	434	33716	Paramount Sloe Gin	12	750	$4.75 
1062200	434	45276	Paramount White Rum	12	750	$4.17 
1012100	260	11285	Crown Royal Xr Canadian Whiskey	6	750	$65.50 
1012200	370	4718	Chivas Regal 12 Yr	6	1750	$36.49 
1701100	35	3326	Bacardi Oakheart w/Stein	6	750	$7.74 
1012300	370	15667	Jameson Black Barrel	12	750	$17.49 
1011300	85	86670	Jack Daniel's Tennessee Honey	12	750	$14.04 
1011200	65	27680	Jim Beam Kentucky Fire Mini	12	500	$3.30 
1032200	65	35628	Pinnacle Whipped	6	1750	$11.07 
1012100	434	13038	Canadian Reserve Whisky	6	1750	$8.77 
1011250	259	18120	Evan Williams Vintage	6	750	$14.25 
1081900	65	73533	Dekuyper 03	12	750	$12.07 
1081700	418	86764	Sipp'n Sweet Corn	12	375	$10.50 
1041100	65	30236	Gilbey's Gin London Dry	12	750	$4.72 
1081340	65	82827	Dekuyper Rootbeer	12	1000	$7.62 
1031080	260	38008	Smirnoff Vodka 80 Prf Pet	6	1750	$13.75 
1031080	380	37526	Prairie Organic Vodka	6	750	$11.00 
1032200	260	64759	Ciroc Red Berry	24	200	$5.00 
1012300	240	15940	Tullamore Dew Irish Whisky	12	750	$12.96 
1031200	260	41719	Smirnoff Green Apple Vodka	12	750	$7.96 
1071100	55	57125	Chi-Chi's Gold Margarita	6	1750	$6.49 
1032080	35	34421	Grey Goose Vodka Mini	10	600	$20.00 
1031080	259	35418	Burnett's Vodka 80 Prf	6	1750	$8.43 
1031200	259	40331	Deep Eddy Sweet Tea	12	750	$9.00 
1031080	300	36907	Mccormick Vodka PET	12	1000	$3.98 
1031200	380	40625	UV Chocolate Cake	12	750	$6.25 
1082900	259	65195	Hpnotiq	6	750	$8.83 
1032200	260	64722	Ciroc Peach	24	200	$4.99 
1032080	35	34433	Grey Goose Vodka	12	750	$16.97 
1031200	380	40632	UV Whipped	12	750	$6.25 
1041100	65	30236	Gilbey's Gin London Dry	12	750	$4.45 
1042100	370	28086	Beefeater Gin	12	750	$9.99 
1032080	370	34041	Absolut Vodka 100 Premium	12	750	$15.00 
1062300	370	42687	Malibu Black	12	750	$7.99 
1081600	260	67264	Yukon Jack Canadian Liqueur	24	375	$5.00 
1051140	115	56196	Paul Masson Peach Grande Amber Brandy	12	750	$6.29 
1081300	380	83370	Ice Hole Mint Schnapps	12	750	$5.15 
1081400	434	86250	Juarez Triple Sec	12	750	$2.50 
1031200	260	41746	Smirnoff Citrus Vodka	12	750	$8.25 
1701100	260	324	Bailey's Original Irish Cream Multi Pack	30	200	$6.66 
1081240	434	79026	Arrow Creme De Menthe Green	12	750	$4.39 
